epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8838,1.54933,2.86141,1.54587,0.85293,0.289,0.36993,0.21074,1.48994,1.99712,1.52264,0.000157968,0.000157968,0.000157968
2,109.107,1.3833,1.37434,1.41313,0.56532,0.34809,0.38538,0.23284,1.46485,1.45834,1.51189,0.000212145,0.000212145,0.000212145
3,160.855,1.34084,1.16453,1.39183,0.4765,0.37155,0.41079,0.25501,1.3996,1.29716,1.44265,0.000161602,0.000161602,0.000161602
