epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5799.89,1.65796,0.91887,1.19276,0.75313,0.71377,0.71262,0.4612,1.52882,0.8797,1.31965,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5972.91,1.64962,0.91343,1.19319,0.71924,0.72706,0.72784,0.48414,1.52742,0.86883,1.31638,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6140.63,1.64775,0.90345,1.18995,0.76058,0.71637,0.73381,0.48213,1.53312,0.85749,1.31884,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6303.72,1.6453,0.90201,1.18764,0.75633,0.7223,0.7261,0.48142,1.51597,0.8569,1.31091,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6466.75,1.62978,0.89454,1.18118,0.73349,0.72255,0.72445,0.48164,1.53029,0.86646,1.31138,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6629.26,1.62715,0.89004,1.18284,0.73563,0.73124,0.71891,0.46949,1.51942,0.85427,1.3075,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6791.82,1.62323,0.88457,1.17914,0.7591,0.73467,0.74244,0.49291,1.51445,0.85173,1.30495,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6954.17,1.61912,0.88013,1.17513,0.66776,0.72934,0.71502,0.46925,1.51243,0.851,1.30448,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7116.61,1.61079,0.87399,1.17398,0.73366,0.74023,0.74041,0.48921,1.51129,0.84054,1.29909,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7280.33,1.60397,0.87061,1.17096,0.72125,0.74169,0.74741,0.49006,1.51491,0.84479,1.30264,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7488.54,1.59775,0.86247,1.16571,0.76379,0.73639,0.74866,0.4893,1.51395,0.8449,1.2997,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7651.47,1.59715,0.86004,1.16487,0.71064,0.74335,0.72611,0.47915,1.51296,0.83455,1.29656,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7815.94,1.59655,0.85342,1.16201,0.76354,0.73079,0.74179,0.49233,1.51221,0.83395,1.30494,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7992.27,1.59294,0.84877,1.16328,0.73875,0.74821,0.76055,0.50804,1.50928,0.82738,1.30217,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8169.06,1.58574,0.84642,1.16032,0.76634,0.7407,0.75617,0.50331,1.5027,0.81221,1.29082,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8353.02,1.58023,0.84535,1.16086,0.75805,0.7449,0.74916,0.50439,1.50747,0.82273,1.29886,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8537.59,1.56993,0.83678,1.15535,0.75598,0.74533,0.74799,0.4996,1.50482,0.82279,1.29326,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8720.04,1.57083,0.83472,1.15256,0.75531,0.75748,0.73886,0.48773,1.50983,0.82118,1.29832,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8901.76,1.5609,0.82649,1.14869,0.74128,0.77054,0.73983,0.48997,1.51208,0.81553,1.2991,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
